# This data was generated in DESPASITO using the thermodynamic calculation: liquid_properties
# P [Pa], T [K], xi1, xi2, rhol [mol/m^3], phil1, phil2,
 101330.0, 335.75, 0.098, 0.902, 12546.219109196769, 0.646991613971558, 1.000654235518295,
 101330.0, 336.65, 0.186, 0.814, 12430.449228928966, 0.7554720961520859, 1.0086893659758627,
 101330.0, 337.25, 0.266, 0.734, 12324.300713615261, 0.8509072629455406, 0.9988390393221289,
 101330.0, 337.55, 0.36, 0.64, 12201.15020759058, 0.9497359516294804, 0.9635622734007728,
 101330.0, 336.95, 0.468, 0.532, 12068.95240689513, 1.0239527099782466, 0.8839824569130078,
 101330.0, 335.85, 0.578, 0.422, 11935.549781427813, 1.066324768495764, 0.7844043617227097,
 101330.0, 334.65, 0.673, 0.327, 11819.115405987923, 1.0785240952485573, 0.6928927515019799,
 101330.0, 333.45, 0.755, 0.245, 11717.45650716123, 1.0713926182859446, 0.6134604034524795,
 101330.0, 332.15, 0.827, 0.173, 11629.422075169685, 1.0479659970767803, 0.5428024179850751,
