Taxon,Longitude,Latitude
Plutarchia monantha,-75.576456,4.442319
Plutarchia guascensis,-73.126222,5.856554
Plutarchia guascensis,-73.79091,4.78002
Plutarchia rigida,-75.334569,4.60591
Plutarchia dichogama,-75.57683,4.44538
Plutarchia dasyphylla,-73.45674,6.56246
Plutarchia guascensis,-73.513821,5.235706
Plutarchia guascensis,-73.79091,4.78002
Plutarchia guascensis,-73.8328456,4.8423286
Plutarchia guascensis,-73.788979,4.842561
Plutarchia dasyphylla,-73.11157,7.15584
Plutarchia dasyphylla,-72.913001,7.260421
Plutarchia dasyphylla,-72.913001,7.260421
Plutarchia dolos,-73.73,4.62
Plutarchia guascensis,-73.800692,4.80545
Plutarchia coronaria,-73.07298,5.903346
Plutarchia dolos,-73.74,4.56
Plutarchia dolos,-73.75,4.52
Plutarchia dolos,-73.72,4.63
Plutarchia rigida,-75.34012,4.77626
Plutarchia miranda,-76.103958,2.197143
Plutarchia pubiflora,-75.2845001221,5.0652999878
Plutarchia guascensis,-73.8141666667,4.7966666667
Plutarchia monantha,-75.42015,4.66397
Plutarchia monantha,-75.433135,4.625421
Plutarchia monantha,-75.433135,4.625421
Plutarchia dolos,-73.73,4.62
Plutarchia guascensis,-73.602399,5.182382
Plutarchia dasyphylla,-72.602943,5.96079
Plutarchia coronaria,-72.5961111111,5.9938888889
Plutarchia coronaria,-72.716389,5.510556
Plutarchia miranda,-76.13446,2.228468
Plutarchia dichogama,-75.0547,4.71679
Plutarchia guascensis,-73.825836,4.764468
Plutarchia rigida,-76.45507,2.38089
Plutarchia rigida,-76.119444,2.929444
Plutarchia pubiflora,-75.844943,3.992181
Plutarchia coronaria,-72.665964,7.053787
Plutarchia guascensis,-73.8220672607,4.7894611359
Plutarchia minor,-75.86787,3.923084
Plutarchia miranda,-76.098225,2.309783
Plutarchia monantha,-75.568977,4.446595
Plutarchia coronaria,-72.588647,7.387979
Plutarchia coronaria,-72.743884,5.505229
Plutarchia coronaria,-72.5902777778,7.3702777778
