Taxon,Category,Criteria
Plutarchia coronaria,VU,B1ab(iii)
Plutarchia dasyphylla,EN,B1ab(iii)
Plutarchia dichogama,EN,B1ab(iii)
Plutarchia dolos,LC,
Plutarchia guascensis,EN,B1ab(iii)
Plutarchia minor,EN,B1ab(iii)
Plutarchia miranda,NT,
Plutarchia monantha,VU,B1ab(iii)
Plutarchia pubiflora,EN,B1ab(iii)
Plutarchia rigida,VU,B1ab(iii)
Plutarchia falsa,EN,A2ac
