Taxon,group
Plutarchia coronaria,Ericales
Plutarchia dasyphylla,Ericales
Plutarchia dichogama,Ericales
Plutarchia dolos,Ericales
Plutarchia guascensis,Ericales
Plutarchia minor,Ericales
Plutarchia miranda,Ericales
Plutarchia monantha,Ericales
Plutarchia pubiflora,Ericales
Plutarchia rigida,Ericales
Plutarchia falsa,Ericales
