epsilon, Wiley, Gibbard, total obj
[200.0, 1340993726.7220476, nan, nan]
[210.0, 520607050.43212277, nan, nan]
[190.0, 3434992688.6985393, nan, nan]
[205.0, 836633784.9008824, nan, nan]
[205.0, 836633784.9008824, nan, nan]
[195.0, 2146880557.8798206, nan, nan]
[202.5, 1059282694.6927863, nan, nan]
[202.5, 1059282694.6927863, nan, nan]
[197.5, 1696980845.1178172, nan, nan]
[201.25, 1191907412.4815288, nan, nan]
[201.25, 1191907412.4815288, nan, nan]
[198.75, 1508584793.576785, nan, nan]
[200.625, 1264270827.9275546, nan, nan]
[200.625, 1264270827.9275546, nan, nan]
[199.375, 1422338801.3068945, nan, nan]
[200.3125, 1302071299.1535437, nan, nan]
[200.3125, 1302071299.1535437, nan, nan]
[199.6875, 1381071463.9677076, nan, nan]
[200.15625, 1321390220.7493362, nan, nan]
[200.15625, 1321390220.7493362, nan, nan]
[199.84375, 1360886062.7896323, nan, nan]
[200.078125, 1331156124.7931643, nan, nan]
[200.078125, 1331156124.7931643, nan, nan]
[199.921875, 1350903527.4206939, nan, nan]
[200.0390625, 1336065934.0569701, nan, nan]
[200.0390625, 1336065934.0569701, nan, nan]
[199.9609375, 1345939568.8498125, nan, nan]
[200.01953125, 1338527578.2688534, nan, nan]
[200.01953125, 1338527578.2688534, nan, nan]
[199.98046875, 1343464387.4734292, nan, nan]
[200.009765625, 1339760088.9365568, nan, nan]
[200.009765625, 1339760088.9365568, nan, nan]
[199.990234375, 1342228492.5831594, nan, nan]
[200.0048828125, 1340376766.8934252, nan, nan]
[200.0048828125, 1340376766.8934252, nan, nan]
[199.9951171875, 1341610968.6140506, nan, nan]
[200.00244140625, 1340685211.556364, nan, nan]
[200.00244140625, 1340685211.556364, nan, nan]
[199.99755859375, 1341302312.3549047, nan, nan]
[200.001220703125, 1340839460.3228943, nan, nan]
[200.001220703125, 1340839460.3228943, nan, nan]
[199.998779296875, 1341148010.7273438, nan, nan]
[200.0006103515625, 1340916591.3358176, nan, nan]
[200.0006103515625, 1340916591.3358176, nan, nan]
[199.9993896484375, 1341070866.4671302, nan, nan]
[200.00030517578125, 1340955158.448349, nan, nan]
[200.00030517578125, 1340955158.448349, nan, nan]
[199.99969482421875, 1341032296.049915, nan, nan]
[200.00015258789062, 1340974442.396546, nan, nan]
[200.00015258789062, 1340974442.396546, nan, nan]
[199.99984741210938, 1341013011.184153, nan, nan]
[200.0000762939453, 1340984084.5469763, nan, nan]
[200.0000762939453, 1340984084.5469763, nan, nan]
[199.9999237060547, 1341003368.8568451, nan, nan]
[200.00003814697266, 1340988905.6417696, nan, nan]
[200.00003814697266, 1340988905.6417696, nan, nan]
[199.99996185302734, 1340998547.8343277, nan, nan]
[200.00001907348633, 1340991316.1740828, nan, nan]
[200.00001907348633, 1340991316.1740828, nan, nan]
[199.99998092651367, 1340996137.2762783, nan, nan]
[200.00000953674316, 1340992521.3516612, nan, nan]
