# This data was generated in DESPASITO using the thermodynamic calculation: verify_eos
# P [Pa], T [K], xi1, xi2, residual_v1, residual_v2, flagv, log_phivi1, log_phivi2, residual_l1, residual_l2, flagl, log_phili1, log_phili2,
 101325.0, 298.15, 0.01, 0.99, -9.806767934908706e-06, -4.95664598119136e-05, 0, -1.057891101276916, -0.2110404219130711, -9.80676930621015e-06, -4.9566459524660876e-05, 0, -1.0578911001624616, -0.21104042025051395,
 101325.0, 298.15, 0.108, 0.892, -9.780746516340297e-06, -5.061924013133057e-05, 0, -1.0610501703228135, -0.21084213217904096, -3.463347165649842e-08, -0.0007644649470208478, 1, -2.8560937767947525, 3.1719015420159438,
 101325.0, 298.15, 0.20600000000000002, 0.794, -9.75136658673489e-06, -5.0401281261578725e-05, 0, -1.0639026684969872, -0.2103106081558629, -3.529236465120332e-08, 0.003551714256613396, 1, -2.8871894086293732, 3.1760790789605537,
 101325.0, 298.15, 0.30400000000000005, 0.696, -9.718580609379757e-06, -4.890358892154523e-05, 0, -1.0664462778173902, -0.20943961809813755, -3.693202221699367e-08, 0.006156595547582956, 1, -2.8491532275968483, 3.1626715503561087,
 101325.0, 298.15, 0.402, 0.598, -9.682319934422918e-06, -4.611443097644441e-05, 0, -1.0686776815858186, -0.2082217083373218, -3.8888827562527265e-08, 0.007456980582028064, 1, -2.804125350968084, 3.138030777336733,
 101325.0, 298.15, 0.5, 0.5, -9.642503670650941e-06, -4.201910523110586e-05, 0, -1.0705924907417996, -0.20664808932267434, -4.1103110690699434e-08, 0.007755147128204243, 1, -2.765447375398467, 3.1063020907146663,
 101325.0, 298.15, 0.5980000000000001, 0.4019999999999999, -9.599068306085417e-06, -3.659981201049561e-05, 0, -1.072185160652988, -0.20470850806362365, -4.333256185141881e-08, 0.007272957314697539, 1, -2.735711214866691, 3.070207113294789,
 101325.0, 298.15, 0.6960000000000001, 0.30399999999999994, -9.551883317309544e-06, -2.9835334966125785e-05, 0, -1.0734488849066603, -0.20239108967371386, -4.570021264988155e-08, 0.006173823881153468, 1, -2.7145379302703176, 3.0315416967080715,
 101325.0, 298.15, 0.794, 0.20599999999999996, -9.500855343150792e-06, -2.1700860700710535e-05, 0, -1.0743754693629028, -0.19968215119214527, -4.814588983843337e-08, 0.0045796338922780054, 1, -2.7007681947602906, 2.991499720968265,
 101325.0, 298.15, 0.892, 0.10799999999999998, -9.445876974560811e-06, -1.216724579730577e-05, 0, -1.0749552076735904, -0.19656600807279995, -5.0562259350153666e-08, 0.00258269320342821, 1, -2.6931519378914244, 2.950879884151817,
 101325.0, 298.15, 0.99, 0.010000000000000009, -9.386785458403172e-06, -1.200972666067779e-06, 0, -1.0751766381262025, -0.19302464301551253, -5.301311952841389e-08, 0.0002539829690749329, 1, -2.6905618554341464, 2.910218056292064,
