# This data was generated in DESPASITO using the thermodynamic calculation: saturation_properties
# T [K], Psat [Pa], rhol [mol/m^3], rhov [mol/m^3],
 295.75, 5828.452242713576, 11158.062400477693, 2.3844057900263604,
 298.13, 6847.4351766293485, 11125.977410841004, 2.780323466690322,
 303.15, 9521.279271411848, 11057.229889077447, 3.8064723329990002,
 304.05, 10086.539718985276, 11044.744434727321, 4.021430403586477,
 308.18, 13071.488316643432, 10986.796224312553, 5.14733450234481,
 309.35, 14045.19273266012, 10970.179515947533, 5.511668503629872,
 313.85, 18397.837329693764, 10905.411757601682, 7.1258615005675034,
 321.35, 28230.71715285662, 10794.294748399703, 10.70633078837593,
 323.25, 31334.55363176952, 10765.486879330589, 11.821903106138837,
 325.55, 35474.33667574894, 10730.245818540869, 13.300952974348123,
 329.44, 43525.70976881668, 10669.70433273252, 16.152519159527564,
 331.45, 48253.65653498575, 10637.950469003525, 17.813706372280496,
 333.27, 52897.89836827472, 10608.916076005182, 19.437077385604567,
 337.51, 65176.466990970126, 10540.217383380796, 23.694048505957195,
 338.95, 69848.00411769252, 10516.54381655214, 25.301907692816684,
 342.29, 81752.81791997014, 10460.95553419788, 29.37399646943575,
 343.45, 86257.32690143946, 10441.425189185982, 30.906147030125464,
 346.65, 99744.4366805767, 10386.941446824754, 35.46847806880386,
 347.69, 104479.46306964045, 10369.04080259135, 37.0619854102259,
 351.13, 121454.220085171, 10309.147385794202, 42.743321524808835,
 357.54, 158963.4136061531, 10194.70238883477, 55.150213945513464,
 358.25, 163628.50161499192, 10181.795512362874, 56.681087577153235,
 362.36, 192802.57757909806, 10106.16670959699, 66.20237287327036,
 362.59, 194548.36518649288, 10101.888126558346, 66.76946066587927,
 366.81, 228833.16020364905, 10022.506864050063, 77.851898112934,
 366.85, 229179.17581699975, 10021.746429592029, 77.96325016158286,
 366.95, 230045.99082710597, 10019.844681801556, 78.24216044439461,
 370.31, 260677.49231539454, 9955.396007733514, 88.0622924520464,
 370.51, 262595.0835237217, 9951.525989190308, 88.6748333672058,
 373.7, 294669.2424696566, 9889.283121869337, 98.88490452207115,
 373.89, 296669.7880366063, 9885.54513196921, 99.51961702998781,
 374.32, 301235.5559684157, 9877.072673717508, 100.9673108326017,
 376.79, 328505.840638576, 9828.060646343303, 109.58942903593875,
 379.37, 358943.21844299894, 9776.236384478047, 119.16652360711383,
 379.52, 360775.81285036186, 9773.203484887326, 119.7416876880289,
 379.65, 362369.7314136156, 9770.573202613114, 120.24181281555185,
 382.04, 392624.4776242837, 9721.923125094187, 129.7127294864213,
 383.35, 409986.7277942874, 9695.020457359307, 135.12972089719844,
 384.31, 423067.9167386192, 9675.198732311286, 139.20283509062577,
 384.34, 423481.6283045216, 9674.577845219686, 139.33154153425974,
 386.58, 455227.00647114275, 9627.96808347079, 149.18806944838227,
 388.41, 482435.7343259056, 9589.521966362405, 157.60695507665335,
 388.47, 483347.5478063752, 9588.255823426785, 157.88864680290465,
 390.54, 515584.06565943727, 9544.354953628184, 167.83027211853167,
 390.57, 516062.48502822744, 9543.7155765808, 167.97756714228296,
 390.95, 522150.4767405883, 9535.609021753986, 169.85132233365024,
 391.3, 527803.9140646204, 9528.12971835965, 171.5903247602406,
 392.34, 544865.1062513349, 9505.83331589028, 176.832640433404,
 394.09, 574470.2905368682, 9468.070903696484, 185.90975113014508,
 395.71, 602894.2871273207, 9432.839400884179, 194.602761978445,
 397.31, 631944.4727937329, 9397.78290923582, 203.46658604222762,
 398.15, 647589.7464395897, 9379.27447139624, 208.23211254888247,
 398.84, 660646.1616787649, 9364.01750308889, 212.20489128248803,
 419.34, 1138222.4757595635, 8888.134017165954, 355.71440060615146,
 423.15, 1247242.6126349398, 8794.704995278822, 388.1799957405226,
 429.11, 1431251.4548049541, 8645.249449226563, 442.89046017881793,
 433.77, 1586804.9628335093, 8525.489362829157, 489.12715478127444,
 439.24, 1782726.6988136466, 8381.51661597871, 547.4439569149391,
 439.28, 1784212.9719328221, 8380.449867265523, 547.8869487072524,
 443.97, 1963919.6244171408, 8253.922893817693, 601.5447550483188,
 448.15, 2133240.760827819, 8138.648400507176, 652.3195102126658,
 448.63, 2153240.29616923, 8125.254328400643, 658.333786708889,
 459.75, 2648902.0060007554, 7805.256346765364, 808.8984185668829,
 462.64, 2787934.887955584, 7718.820881518679, 851.7717968106276,
 470.31, 3177495.9700780585, 7482.05096643206, 973.8382553908064,
 472.55, 3296918.106908255, 7410.714868368111, 1011.9179647376246,
 473.15, 3329340.657817646, 7391.426966320612, 1022.3160487114557,
 480.96, 3768135.6883806516, 7132.855321755526, 1165.8538157136607,
 482.32, 3847729.131522036, 7086.290416145479, 1192.5136400923582,
 490.87, 4369736.029331171, 6781.368790158675, 1373.1215009147113,
 492.3, 4460681.3676443305, 6728.083576115698, 1405.7508658943257,
 498.15, 4843570.8550040405, 6502.033121372488, 1547.6954243417247,
 502.06, 5109182.662870845, 6342.665493020809, 1651.1991947800634,
 502.47, 5137483.867836849, 6325.516251874904, 1662.5067722765934,
 512.82, 5880086.162893515, 5857.838080290265, 1983.742233420266,
 513.06, 5897947.265527139, 5846.030325476645, 1992.1778480824557,
 522.92, 6656745.617282972, 5301.223924177965, 2399.4099233404845,
 523.15, 6675026.909670787, 5286.643919713509, 2410.8039368514164,
 523.2, 6679004.600601133, 5283.458881912088, 2413.296509039743,
 532.85, 7470009.071969474, 4479.356195437673, 3084.754020981031,
 533.23, 7502103.825395444, 4430.876385673169, 3128.052659759903,
 542.77, nan, nan, nan,
 548.15, nan, nan, nan,
 550.64, nan, nan, nan,
 556.89, nan, nan, nan,
 562.98, nan, nan, nan,
