# This data was generated in DESPASITO using the thermodynamic calculation: phase_xiT
# T [K], xi1, xi2, P [Pa], yi1, yi2, flagl, flagv, obj,
 318.15, 0.065, 0.935, 883404.8697118582, 0.065, 0.935, 1.0, 2.0, 0.0012293886219605366,
 318.15, 0.159, 0.841, 33.82585975598773, 0.159, 0.841, 0.0, 0.0, 1.1782699735896074e-06,
 318.15, 0.255, 0.745, 33.19105829939987, 0.255, 0.745, 0.0, 0.0, 7.643158350667534e-07,
 318.15, 0.348, 0.652, 32.625569122727704, 0.3479999999999999, 0.652, 0.0, 0.0, 4.634524946034446e-07,
 318.15, 0.443, 0.557, nan, nan, nan, 3.0, 3.0, nan,
 318.15, 0.521, 0.479, nan, nan, nan, 3.0, 3.0, nan,
 318.15, 0.591, 0.409, nan, nan, nan, 3.0, 3.0, nan,
 318.15, 0.62, 0.38, nan, nan, nan, 3.0, 3.0, nan,
 318.15, 0.717, 0.283, nan, nan, nan, 3.0, 3.0, nan,
 318.15, 0.792, 0.208, nan, nan, nan, 3.0, 3.0, nan,
 318.15, 0.802, 0.198, nan, nan, nan, 3.0, 3.0, nan,
 318.15, 0.869, 0.131, nan, nan, nan, 3.0, 3.0, nan,
 318.15, 0.929, 0.071, nan, nan, nan, 3.0, 3.0, nan,
 318.15, 0.966, 0.034, nan, nan, nan, 3.0, 3.0, nan,
 318.15, 1.0, 0.0, nan, nan, nan, 3.0, 3.0, nan,
