epsilon, H2O-ethane, total obj
[200.0, 3710236127.3959064, 3710236127.3959064]
[210.0, 1551737904.0471215, 1551737904.0471215]
[220.0, 731951581.8198488, 731951581.8198488]
[230.0, 428351605.1335675, 428351605.1335675]
[250.0, 283689768.05377865, 283689768.05377865]
[270.0, 272785808.57290745, 272785808.57290745]
[310.0, 284689877.03045243, 284689877.03045243]
[290.0, 278075780.732496, 278075780.732496]
[250.0, 283689768.05377865, 283689768.05377865]
[280.0, 274972399.5898659, 274972399.5898659]
[260.0, 273648951.50683355, 273648951.50683355]
[265.0, 272595122.1286711, 272595122.1286711]
[260.0, 273648951.50683355, 273648951.50683355]
[267.5, 272574909.8006061, 272574909.8006061]
[270.0, 272785808.57290745, 272785808.57290745]
[266.25, 272551918.8511525, 272551918.8511525]
[265.0, 272595122.1286711, 272595122.1286711]
[266.875, 272555708.4970001, 272555708.4970001]
[265.625, 272564658.3817141, 272564658.3817141]
[266.5625, 272551820.75971806, 272551820.75971806]
[266.875, 272555708.4970001, 272555708.4970001]
[266.40625, 272551363.33484507, 272551363.33484507]
[266.25, 272551918.8511525, 272551918.8511525]
[266.484375, 272551467.96056056, 272551467.96056056]
[266.328125, 272551515.896921, 272551515.896921]
[266.4453125, 272551383.6460841, 272551383.6460841]
[266.3671875, 272551408.1873835, 272551408.1873835]
[266.42578125, 272551366.5384555, 272551366.5384555]
[266.38671875, 272551375.8840149, 272551375.8840149]
[266.416015625, 272551363.91545016, 272551363.91545016]
[266.396484375, 272551366.58685327, 272551366.58685327]
[266.4111328125, 272551364.49454325, 272551364.49454325]
[266.4111328125, 272551364.49454325, 272551364.49454325]
[266.4013671875, 272551364.0192689, 272551364.0192689]
[266.40380859375, 272551365.92959994, 272551365.92959994]
[266.40869140625, 272551364.00657135, 272551364.00657135]
[266.40380859375, 272551365.92959994, 272551365.92959994]
[266.407470703125, 272551362.9582525, 272551362.9582525]
[266.40869140625, 272551364.00657135, 272551364.00657135]
[266.4068603515625, 272551363.7819118, 272551363.7819118]
[266.4068603515625, 272551363.7819118, 272551363.7819118]
[266.4080810546875, 272551363.3542458, 272551363.3542458]
[266.40777587890625, 272551365.0745811, 272551365.0745811]
[266.40716552734375, 272551362.7313863, 272551362.7313863]
[266.4068603515625, 272551363.7819118, 272551363.7819118]
[266.4073181152344, 272551365.0233481, 272551365.0233481]
[266.4073181152344, 272551365.0233481, 272551365.0233481]
[266.4070129394531, 272551362.9980179, 272551362.9980179]
[266.40708923339844, 272551364.03972054, 272551364.03972054]
[266.40724182128906, 272551362.24378955, 272551362.24378955]
[266.4073181152344, 272551365.0233481, 272551365.0233481]
[266.4072036743164, 272551363.4859708, 272551363.4859708]
[266.4072036743164, 272551363.4859708, 272551363.4859708]
[266.4072799682617, 272551363.3861869, 272551363.3861869]
[266.4072608947754, 272551364.8475686, 272551364.8475686]
[266.40722274780273, 272551362.2886996, 272551362.2886996]
[266.4072608947754, 272551364.8475686, 272551364.8475686]
[266.4072322845459, 272551363.1982358, 272551363.1982358]
